Done,id_post,right_addres,post_score
Руслан Е.,31860,"Большевиков проспект, 18 лит А",4
Руслан Е.,31836,"Лиговский проспект, 65",6
Руслан Е.,31784,"Просвещения проспект, 3а",8
Руслан Е.,31768,"Ленинградская, 7",6
Руслан Е.,31719,"Выборгское шоссе, 11",6
Руслан Е.,31576,"Белы Куна, 23а",7.5
Руслан Е.,31345,"Рубинштейна, 4",5
Руслан Е.,31251,"Будапештская, 94",9
Руслан Е.,31193,"Просвещения проспект, 3а",9
Руслан Е.,31117,"Муринский 2-й проспект, 3а",6
Руслан Е.,31057,"Кронверкский проспект, 21",7
Руслан Е.,30954,"Рубинштейна, 40/11",7
Руслан Е.,30938,"Всеволожский проспект, 72",8
Руслан Е.,30914,"Большая Московская, 1",7.5
Руслан Е.,30799,"Обуховской Обороны проспект, 120 лит Ш",9
Руслан Е.,30652,"Димитрова, 18 к1",7
Руслан Е.,30637,"Светлановский проспект, 54д/2",8
Руслан Е.,30592,"Торфяная дорога, 2 к1",6
Руслан Е.,30565,"Лиговский проспект, 68",6.5
Руслан Е.,30530,"Авиаконструкторов проспект, 9а",1
Руслан Е.,30501,"Лиговский проспект, 161 лит Б",8.5
Руслан Е.,30347,"Финский переулок, 9",6
Руслан Е.,30285,"Ланское шоссе, 43",8
Руслан Е.,30125,"Жуковского, 11",8
Руслан Е.,30080,"Просвещения проспект, 87",8
Руслан Е.,30064,"Стачек проспект, 90",6.5
Руслан Е.,29975,"Шевченко, 29",6.5
Руслан Е.,29945,"Типанова, 5",7
Руслан Е.,29763,"Димитрова, 16д киоск",5
Руслан Е.,29698,"Новаторов бульвар, 102 к3",6.5
Руслан Е.,29678,"Елизарова проспект, 15",8.5
Руслан Е.,29661,"Генерала Симоняка, 4 к1",3
Руслан Е.,29639,"Стачек проспект, 75",7
Руслан Е.,29161,"Туристская, 15б",8
Руслан Е.,29059,"Новаторов бульвар, 17",4
Руслан Е.,29027,"Тимуровская, 21",9
Руслан Е.,29006,"Решетникова, 12",6
Руслан Е.,28891,"Шлиссельбургский проспект, 13",8
Руслан Е.,28863,"Съезжинская, 4",7.5
Руслан Е.,28834,"Садовая, 28/30 к1",8
Руслан Е.,28726,"Шевченко, 29",7.5
Руслан Е.,28685,"Пионерская, 21",3
Руслан Е.,28630,"Новочеркасский проспект, 39/2",8
Руслан Е.,28589,"Клинский проспект, 22",7
Руслан Е.,28544,"Димитрова, 18 к1",7
Руслан Е.,28378,"Лиговский проспект, 161 лит Б",9
Руслан Е.,28281,"Луначарского проспект, 64 к3",8
Руслан Е.,28141,"Шевченко, 29",8
Руслан Е.,27851,"Набережная канала Грибоедова, 26",7
Руслан Е.,27774,"Шевченко, 29",9
Руслан Е.,27747,"Стачек проспект, 1",9
Руслан Е.,27659,"Авиаконструкторов проспект, 9а",7
Руслан Е.,27557,"Просвещения проспект, 24",2
Руслан Е.,27354,"Жуковского, 11",7
Руслан Е.,27308,"Сенная площадь, 7",2
Руслан Е.,27197,"Альпийский переулок, 30а киоск",6
Руслан Е.,27140,"Удельный проспект, 2",6
Руслан Е.,27089,"Сенная площадь, 7",5
Руслан Е.,27035,"Гражданский проспект, 66 к1",7
Руслан Е.,26919,"Невский проспект, 120",7.5
Руслан Е.,26840,"Крыленко, 21Б",6
Руслан Е.,26824,"Кантемировская, 26А",5.5
Руслан Е.,26699,"Тореза проспект, 33а",8
Руслан Е.,26681,"Набережная Обводного канала, 122",6
Руслан Е.,26611,"Набережная канала Грибоедова, 24",8
Руслан Е.,26520,"Садовая, 42",4
Руслан Е.,26493,"Решетникова, 12",7.5
Руслан Е.,26474,"8-я линия В.О., 49",7
Руслан Е.,26397,"Стачек проспект, 66",6.5
Руслан Е.,26375,"Испытателей проспект, 9 к3",7.5
Руслан Е.,26335,"Гражданский проспект, 66 к1",8
Руслан Е.,26311,"Матвеева переулок, 5а",8
Руслан Е.,26215,"Комсомола, 16",8
Руслан Е.,26164,"Набережная реки Карповки, 10",1
Руслан Е.,26006,"Васи Алексеева, 1",3.5
Руслан Е.,25969,"Васи Алексеева, 1",7.2
Руслан Е.,25943,"Большая Зеленина, 1",7
Руслан Е.,25887,"Садовая, 42",9
Руслан Е.,25502,"Решетникова, 12",8
Руслан Е.,25415,"Черкасова, 6",8.5
Руслан Е.,25400,"Кантемировская, 27Б",8
Руслан Е.,25210,"Заставская, 28",7
Руслан Е.,24918,"Звенигородская, 1",6
Руслан Е.,24824,"Камышовая, 13",4
Руслан Е.,24802,"Богатырский проспект, 35Б",6
Руслан Е.,24732,"Суворовский проспект, 43-45",7
Руслан Е.,24693,"Крыленко, 21а",7.5
Руслан Е.,24663,"Литейный проспект, 59",4
Руслан Е.,24577,"Дыбенко, 16ж",5
Руслан Е.,24533,"Наставников проспект, 24 к1",9
Руслан Е.,24477,"Гражданский проспект, 66 к1",7
Руслан Е.,24362,"Садовая, 42",8.5
Руслан Е.,24300,"Клинский проспект, 22",7
Руслан Е.,24183,"Коломяжский проспект, 19 к2",2
Руслан Е.,24051,"Гороховая, 50",8.5
Руслан Е.,23967,"Суворовский проспект, 43-45",7.5
Руслан Е.,23930,"Гражданский проспект, 41 лит Б",3.5
Руслан Е.,23839,"Шевченко, 29",5.5
Руслан Е.,23806,"Ленинский проспект, 129 к6",7
Руслан Е.,23699,"Садовая, 42",2.5
Руслан Е.,23685,"Большевиков проспект, 17а",7
Руслан Е.,23575,"Большевиков проспект, 17а",5.5
Руслан Е.,23508,"Решетникова, 12",7.4
Руслан Е.,23466,"Васи Алексеева, 6",8
Руслан Е.,23342,"Кронверкский проспект, 45",7.5
Руслан Е.,23316,"Краснопутиловская, 30",8
Руслан Е.,23287,"Моховая, 31",8
Руслан Е.,23256,"Боткинская, 3 к1",4
Руслан Е.,23244,"Ивановская, 8",8
Руслан Е.,23212,"Большевиков проспект, 19",6
Руслан Е.,23203,"Торфяная дорога, 2 к3",7.5
Руслан Е.,23183,"Автовская, 20 к2",3
Руслан Е.,23000,"Большевиков проспект, 2 к1",7
Руслан Е.,22986,"Васи Алексеева, 1",7
Руслан Е.,22803,"Большевиков проспект, 2 к1",8
Руслан Е.,22718,"Торфяная дорога, 2 к1",4
Руслан Е.,22651,"Оранжерейная, 23",8
Руслан Е.,22630,"Шуваловский проспект, 72 к1",8
Руслан Е.,22584,"Лиговский проспект, 161 лит Б",6.5
Руслан Е.,22557,"Новочеркасский проспект, 39/2",5
Руслан Е.,22535,"Испытателей проспект, 9 к3",9.5
Руслан Е.,22371,"Балканская площадь, 5 лит И",5
Руслан Е.,22353,"Решетникова, 12",7.2
Руслан Е.,22335,"Уточкина, 2а киоск",7.5
Руслан Е.,22306,"Балканская площадь, 5 лит И",4
Руслан Е.,22254,"Васи Алексеева, 1",3
Руслан Е.,22038,"Решетникова, 12",7
Руслан Е.,22017,"Ленская, 17 к1",9
Руслан Е.,21923,"Гражданский проспект, 119 к4",8.5
Руслан Е.,21835,"Чернышевского проспект, 9",2.5
Руслан Е.,21704,"Восстания, 4",6
Руслан Е.,21605,"Ленинский проспект, 116",4
Руслан Е.,21521,"Лиговский проспект, 74",5
Руслан Е.,21454,"Энгельса проспект, 120Б",7
Руслан Е.,21402,"Решетникова, 12",7
Руслан Е.,21184,"Фучика, 2 лит А",6
Руслан Е.,21122,"Набережная Обводного канала, 118 лит С",9
Руслан Е.,21055,"Бассейная, 12Б",8
Руслан Е.,21027,"Сенная площадь, 7",5
Руслан Е.,20907,"Балканская площадь, 5 лит И",8.5
Руслан Е.,20864,"Типанова, 5",7.5
Руслан Е.,20807,"Кузнецова проспект, 32 к2",5.5
Руслан Е.,20639,"Крыленко, 21Б",9
Руслан Е.,19560,"Моховая, 37",7.5
Руслан Е.,19229,"Московский проспект, 73",8.5
Руслан Е.,18182,"Садовая, 7-9-11",8.5
Руслан Е.,17726,"Авиаконструкторов проспект, 9",7
Руслан Е.,16837,"Невский проспект, 88",6
Руслан Е.,14274,"Пестеля, 27",1
Руслан Е.,11749,"Ланское шоссе, 12",6.5
Руслан Е.,10585,"Елизарова проспект, 13",8
Руслан Е.,9766,"Невский проспект, 124",1
