Do,id_post,right_addres,post_score,name
Глеб,10280,"Ветеранов проспект, 16",5,
Глеб,12823,"Ветеранов проспект, 36 к2",7,
Глеб,17066,"Ветеранов проспект, 36 к2",7,
Глеб,13283,"Ветеранов проспект, 53",9,
Глеб,32719,"Ветеранов проспект, 53",4,
Глеб,36072,"Ветеранов проспект, 78",2,
Глеб,32253,"Ветеранов проспект, 78",5,
Глеб,38314,"Владимирский проспект, 1",3,
Глеб,18785,"Вознесенский проспект, 55",9,
Глеб,24943,"Волковский проспект, 30",7,
Глеб,22909,"Восстания, 28",7,
Глеб,11681,"Восстания, 4",7.5,
Глеб,14616,"Восстания, 4",6,
Глеб,21704,"Восстания, 4",6,
Глеб,16285,"Восстания, 55",6,
Глеб,26028,"Всеволожский проспект, 55",6.5,
Глеб,30938,"Всеволожский проспект, 72",8,
Глеб,27120,"Выборг, Крепостная, 47",5.5,
Глеб,31719,"Выборгское шоссе, 11",6,
Глеб,35531,"Выборгское шоссе, 1б",8.2,
Глеб,12621,"Гаккелевская, 32",8,
Глеб,29661,"Генерала Симоняка, 4 к1",3,
Глеб,25038,"Гороховая, 50",2,
Глеб,38209,"Гороховая, 50",8,
Глеб,34590,"Гороховая, 50",8.5,
Глеб,24051,"Гороховая, 50",8.5,
Глеб,15200,"Гражданский пр., 119к4",9,
Глеб,13659,"Гражданский проспек, 119 к4",6.5,
Глеб,9672,"Гражданский проспект, 119 к4",7.5,
Глеб,18011,"Гражданский проспект, 119 к4",8.5,
Глеб,11455,"Гражданский проспект, 119 к4",7.5,
Глеб,21923,"Гражданский проспект, 119 к4",8.5,
Глеб,23930,"Гражданский проспект, 41 лит Б",3.5,
Глеб,27035,"Гражданский проспект, 66 к1",7,
Глеб,26335,"Гражданский проспект, 66 к1",8,
Глеб,24477,"Гражданский проспект, 66 к1",7,
Глеб,12039,"Гражданский проспект, 72а",8.5,
Глеб,35025,Гражданский проспект/ул Верности,3,
Глеб,30196,"Гренадерская, 22",5,
Глеб,31945,"Гривцова переулок, 20",8.5,
Глеб,32279,"Декабристов, 31",1,
Глеб,31517,"Декабристов, 46",8,
Глеб,20159,"Димитрова, 13",7,
Глеб,13116,"Димитрова, 13а",9,
Глеб,29763,"Димитрова, 16д киоск",5,
Глеб,16888,"Димитрова, 18 к1",9,
Глеб,30652,"Димитрова, 18 к1",7,
Глеб,28544,"Димитрова, 18 к1",7,
Глеб,15112,"Димитрова, 18д",9,
Глеб,16180,Думская/Ломоносова,6,
Глеб,37955,"Дыбенко, 16",5.5,
Глеб,24577,"Дыбенко, 16ж",5,
Глеб,31311,"Егорова, 15",8,
Глеб,10585,"Елизарова проспект, 13",8,
Глеб,29678,"Елизарова проспект, 15",8.5,
Глеб,19501,Енотаевская 13,2,
Глеб,30211,"Енотаевская, 15",1,
Глеб,39363,"Есенина, 12 к1",7,
Глеб,23819,"Есенина, 5",6.5,
Глеб,11098,"Есенина, 5 ",9,
Глеб,10179,"Есенина, 5б",7,
Глеб,27880,"Железноводская ул., 68, корп. 1",8,
Глеб,13098,"Железноводская, 68",8,
Глеб,11682,"Железноводская, 68",9,
Глеб,11522,"Железнодорожная, 40",7.5,
Глеб,34786,"Жуковского, 11",7,
Глеб,30125,"Жуковского, 11",8,
Глеб,27354,"Жуковского, 11",7,
Глеб,23561,"Загородный проспект, 20",7.5,
Глеб,37563,"Загородный проспоспект, 24",7.5,
Глеб,14914,"Заневский проспект, 71 к2а",9,
Глеб,37105,"Заневский проспект, 73",6.5,
Глеб,17915,"Заставская, 28",8,
Глеб,32052,"Заставская, 28",8,
Глеб,25210,"Заставская, 28",7,
Глеб,36190,"Звёздная, 14",8.5,
Глеб,24918,"Звенигородская, 1",6,
Глеб,23244,"Ивановская, 8",8,
Глеб,16496,"Ивановская, 9",7,
Глеб,11351,"Ивановская, 9",9,
Глеб,28111,"Индустриальный проспект, 24а",5.5,
Глеб,11598,"Индустриальный проспект, 34б",8,
Глеб,9406,"Испытателей проспект, 4в",7,
Глеб,17885,"Испытателей проспект, 4в",7,
Глеб,9315,"Испытателей проспект, 9 к3",4,
Глеб,11936,"Испытателей проспект, 9 к3",5,
Глеб,11344,"Испытателей проспект, 9 к3",3,
Глеб,26375,"Испытателей проспект, 9 к3",7.5,
Глеб,22535,"Испытателей проспект, 9 к3",9.5,
Глеб,27055,"Испытателей проспект, 9А",5,
Глеб,33951,"Кадетская, 53",5.5,
