Do,id_post,right_addres,post_score,name
Руслан Е,11091,Сенная площадь,3.5,
Руслан Е,23732,Сенная площадь,8.5,
Руслан Е,27308,"Сенная площадь, 7",2,
Руслан Е,27089,"Сенная площадь, 7",5,
Руслан Е,21027,"Сенная площадь, 7",5,
Руслан Е,17602,"Сенная площадь, 8",1,
Руслан Е,12229,"Сенная площадь, 8",7,
Руслан Е,10938,"Сенная площадь, 9",9,
Руслан Е,14672,"Серебристый бульвар, 27а",7,
Руслан Е,29208,"Сквер Блокадников у Пр. Тореза, 9",8.5,
Руслан Е,26559,"Смолячкова, 16",5,
Руслан Е,36507,"Советская 2-я, 1/8 к1",8,
Руслан Е,11105,"Советская, 17",9,
Руслан Е,36645,"Солидарности проспект, 11 к2",6,
Руслан Е,9261,Сосновый бор,6.8,
Руслан Е,19615,Среднеохтинский пр.43,8.5,
Руслан Е,34060,"Средний пр. В.О., 19",7.5,
Руслан Е,11747,"Средний проспект В.О., 34",8,
Руслан Е,10071,"Средний проспект В.О., 34",4,
Руслан Е,34340,"Средний проспект В.О., 42",5.5,
Руслан Е,19776,"Средний проспект В.О., 61",9,
Руслан Е,37760,"Старо-Петергофский проспект, 37",7,
Руслан Е,25232,"Стародеревенская, 8 к4",4,
Руслан Е,20746,"Стачек проспект, 1",2,
Руслан Е,27747,"Стачек проспект, 1",9,
Руслан Е,9638,"Стачек проспект, 105 к1",9.8,
Руслан Е,26459,"Стачек проспект, 105 к1",5,
Руслан Е,10044,"Стачек проспект, 66",6,
Руслан Е,26397,"Стачек проспект, 66",6.5,
Руслан Е,16454,"Стачек проспект, 75",6,
Руслан Е,29639,"Стачек проспект, 75",7,
Руслан У.,20252,"Стачек проспект, 90",4,
Руслан У.,30064,"Стачек проспект, 90",6.5,
Руслан У.,33440,"Стачек проспект, 99",7,
Руслан У.,22434,"Суворовский проспект, 10а",6.5,
Руслан У.,24732,"Суворовский проспект, 43-45",7,
Руслан У.,23967,"Суворовский проспект, 43-45",7.5,
Руслан У.,20096,"Счастливая, 17",5,
Руслан У.,28863,"Съезжинская, 4",7.5,
Руслан У.,32012,"Сытнинская площадь, 4",7,
Руслан У.,11478,"Тепловозная, 34",7,
Руслан У.,33013,"Тепловозная, 34",8,
Руслан У.,29027,"Тимуровская, 21",9,
Руслан У.,19306,"Тимуровская, 26 к1а",0,
Руслан У.,9345,"Типанова, 5",6,
Руслан У.,29945,"Типанова, 5",7,
Руслан У.,20864,"Типанова, 5",7.5,
Руслан У.,31138,"Тихоокеанская, 3",8,
Руслан У.,31977,"Тихоокеанская, 3",7.5,
Руслан У.,36906,"Тихорецкий проспект, 1а",3,
Руслан У.,17764,ТК Платформа,8,
Руслан У.,30003,"Токарева, 1",4,
Руслан У.,15475,"Тореза проспект, 33",8.5,
Руслан У.,26699,"Тореза проспект, 33а",8,
Руслан У.,13233,"Торжковская, 1",9,
Руслан У.,39115,"Торфяная дор., 6",5.5,
Руслан У.,10231,"Торфяная дорога, 2 к1",6,
Руслан У.,12166,"Торфяная дорога, 2 к1",4,
Руслан У.,20064,"Торфяная дорога, 2 к1",9,
Руслан У.,30592,"Торфяная дорога, 2 к1",6,
Руслан У.,22718,"Торфяная дорога, 2 к1",4,
Руслан У.,23203,"Торфяная дорога, 2 к3",7.5,
Руслан У.,9293,"Труда площадь, 1",7,
Руслан У.,32133,"Труда площадь, переход",6,
Руслан У.,16334,"Тульская, 3",10,
Руслан У.,10716,"Тульская, 3",5,
Руслан У.,29161,"Туристская, 15б",8,
Руслан У.,19298,у ларька нет адреса,7,
Руслан У.,18766,у ларька нет адреса,8,
Руслан У.,28929,"Ударников проспект, 29а",8,
Руслан У.,20982,"Удельный проспект, 2",2,
Руслан У.,12014,"Удельный проспект, 2",6,
Руслан У.,34389,"Удельный проспект, 2",8,
Руслан У.,27140,"Удельный проспект, 2",6,
Руслан У.,19152,"Удельный проспект, 2,",7,
Руслан У.,10314,"Удельный проспект, 2/2",1,
Руслан У.,30171,"Удельный проспект, 2а",4,
Руслан У.,20189,"Удельный проспект, 2а",3,
Руслан У.,10524,"Удельный проспект, 2е",2,
Руслан У.,38967,ул Пестеля 13-15,1,
Руслан У.,26292,ул. Большая Разночинная 24,6,
Руслан У.,14738,"ул. Будапештская, 49",4,
Руслан У.,34977,ул. Бухарестская 30/32,4.5,
Руслан У.,22106,ул. Есенина,8,
Руслан У.,37467,"ул. Есенина, 5б",9,
Руслан У.,11357,ул. Костюшко,3.5,
Руслан У.,37029,Ул. Партизана Германа 22к1,9.1,
Руслан У.,27286,ул. Розенштейна,6.5,
Руслан У.,32071,ул. Хошимина 18,5,
Руслан У.,13072,"ул. Ярослава Гашека, 8
",6,
Руслан У.,16032,"ул. Ярослава Гашека, 9 корпус 1",7,
Руслан У.,21793,Уральская/пр. Кима,7,
Руслан У.,18759,"Уткин проспект, 13 к15",4,
Руслан У.,19739,"Уточкина, 2а",6,
Руслан У.,22335,"Уточкина, 2а киоск",7.5,
Руслан У.,11096,"Учебный переулок, 11Б",8,
Руслан У.,17340,"Ушинского, 5б",9,
Руслан У.,32425,"Фёдора Абрамова, 8",8.5,
Руслан У.,25794,"Фермское шоссе, 35-37",6.5,
Руслан У.,30347,"Финский переулок, 9",6,
Руслан У.,21184,"Фучика, 2 лит А",6,
Руслан У.,15951,"Художников проспект, 10Б",5,
Руслан У.,26731,"Художников проспект, 16а",8,
Руслан У.,16144,"Художников проспект, 26е",6,
Руслан У.,11629,"Цветочная, 6",9,
Руслан У.,13147,"Чайковского, 21а",7.5,
Руслан У.,19349,"Чайковского, 23",7.5,
Руслан У.,13635,"Чайковского, 23",3,
Руслан У.,24151,"Чайковского, 57",8.5,
Руслан У.,15066,"Черкасова, 4",7.5,
Руслан У.,25415,"Черкасова, 6",8.5,
Руслан У.,33191,"Чернышевского проспект, 20в",8,
Руслан У.,21835,"Чернышевского проспект, 9",2.5,
Руслан У.,30304,"Чернышевского, 22",7.5,
Руслан У.,10325,"Чкаловский проспект, 12",9,
Руслан У.,28026,"Чкаловский проспект, 12",7,
Руслан У.,32600,"Чкаловский проспект, 50",5,
Руслан У.,29975,"Шевченко, 29",6.5,
Руслан У.,28726,"Шевченко, 29",7.5,
Руслан У.,28141,"Шевченко, 29",8,
Руслан У.,27774,"Шевченко, 29",9,
Руслан У.,23839,"Шевченко, 29",5.5,
Руслан У.,12390,"Шкапина, 6",4,
Руслан У.,28891,"Шлиссельбургский проспект, 13",8,
Руслан У.,15497,"Шуваловский пр., 72к1",9,
Руслан У.,13396,"Шуваловский проспект, 72 к1",7.5,
Руслан У.,22630,"Шуваловский проспект, 72 к1",8,
Руслан У.,39768,"Щербаков переулок, 12",7,
Руслан У.,39298,"Щербаков переулок, 12",7.5,
Руслан У.,38497,"Щербаков переулок, 12",8,
Руслан У.,36304,"Щербакова, 4а",9,
Руслан У.,15010,"Энгельса проспект , 145 к1",7,
Руслан У.,12377,"Энгельса проспект, 111б",7,
Руслан У.,36544,"Энгельса проспект, 111Б",2,
Руслан У.,19802,"Энгельса проспект, 111у",7,
Руслан У.,9411,"Энгельса проспект, 111У",7,
Руслан У.,15765,"Энгельса проспект, 12",9,
Руслан У.,24332,"Энгельса проспект, 120а",8.5,
Руслан У.,21454,"Энгельса проспект, 120Б",7,
Руслан У.,30411,"Энгельса проспект, 121",5,
Руслан У.,12907,"Энгельса проспект, 137а",8,
Руслан У.,11359,"Энгельса проспект, 154",7,
Руслан У.,13148,"Энгельса проспект, 154",9,
Руслан У.,37662,"Энгельса проспект, 154 лит А",4,
Руслан У.,15272,"Энгельса проспект, 162 к1",1,
Руслан У.,35220,"Энгельса проспект, 162 к4",1,
Руслан У.,18495,Энергетиков 70Б к.2,7.5,
Руслан У.,39163,"Энтузиастов проспект, 33 к1 лит А",8,
Руслан У.,38679,"Энтузиастов проспект, 33 к1 лит А",7.5,
Руслан У.,9834,"Ярослава Гашека, 11",8,
Руслан У.,10093,"Ярослава Гашека, 11а",1,
Руслан У.,19953,"Ярослава Гашека, 11а ",1,
Руслан У.,16667,"Ярослава Гашека, 6",8,
