"","polls_id","answer_id","num_voted","users"
"20",255745920,856268982,146,"931515,173916099,121478101,1811814,55902226,52130702,29554799,349366091,119445881,230703790,286356711,138283314,14154684,34274625,1090873,18373646,79472564,3796960,362841,106168367,266765341,95791490,18693424,32220795,1021172,167330723,500647,138959,20159396,17700275,53895737,22495348,146067222,23846380,97527319,262289113,90002052,182412044,17250409,70322644,1087431,119819,6762006,238803846,103834724,99345303,1661014,244010028,272154613,31759,311013459,413404314,8705551,218552203,33820237,80402,86078946,37748132,44171090,271385,45370146,60830343,477832,33684776,4521365,15956436,304215,21862986,145376788,61496403,57063391,121986642,28775403,151740514,273743557,9739337,8278792,65284137,726,231213791,14082503,38229877,139842468,285362,781152,8153470,32973840,3321293,399288322,313234995,829692,91599905,3472053,170741408,8087197,344516563,346985888,135367923,49494240,16892301,50334414,85962248,215681665,24223274,152413617,311565387,58891772,96058750,120741769,376566,35702,7667379,251392342,196835387,175720799,93502147,58044613,31382978,4661651,31680873,33763965,157273635,2751456,7636708,177517794,4710456,5425395,193821736,139088,50887275,16684915,318470663,29197745,684104,19273718,23249648,78327100,86365926,2386307,141887997,2988815,7468680,14937002,27958346,68073546,319257059"
"21",256973318,860524136,10,"164445764,203391407,168709723,211601761,36443610,315834716,189330943,376957,36376,27917131"
"22",256973318,860524137,10,"18506502,246115744,224419330,321384320,332879892,283071501,211277247,249962869,32450159,334922327"
"23",256973318,860524138,13,"4551,332717278,1473312,306040116,748887,97527319,99474216,252399,182228951,18736011,65755491,152413617,199552961"
"24",256973318,860524139,3,"150349225,262289113,844420"
"25",256973318,860524140,138,"2134077,96781813,1811814,11683009,52130702,18106205,349366091,119445881,230703790,1913137,28885906,127020933,139842468,197898321,3796960,33119272,362841,70701886,18693424,274426,8416027,375148796,53895737,33763965,70322644,95791490,95230642,18121188,45370146,145376788,168335898,46102948,1210128,273743557,74631260,113214279,14937002,25044586,3321293,38500851,164673630,246170,16892301,38305493,80783030,404521915,8298402,17700275,13484002,56516836,120047773,91001784,70537551,317719710,8705551,7667379,239519509,25907363,238803846,32220795,4521365,181536019,1289222,49500822,3499318,581534,7882246,136569815,92382485,196969039,7709191,158374688,217604776,302398520,57382353,62971652,311013459,395555104,218552203,73574,298920764,81898463,500647,48092610,113847,3633739,32993658,142991,8153470,80130317,15956436,413404314,2624809,259215557,322127858,157555531,829692,4710456,394165332,57220795,4913058,14392819,196835387,236896,36446026,58044613,4791627,201088381,83169,14154684,8905414,413356633,6687540,30527352,6882922,60830343,131582649,292411079,2141079,50887275,362926140,65578716,258514380,491523,166168693,139088,201592503,120840002,26349990,68073546,11397685,4884003,296267139,22516395,159221995,161944220,36233143,60112384"
"26",255744604,856264299,12,"302398520,3220679,1299524,1532702,133429485,80612622,12898958,173401485,20554409,23863914,63679383,346053233"
"27",255744604,856264300,23,"14309052,153776835,232385303,246115744,37908661,50069722,1273479,262943964,85962248,184696928,95711268,49648707,350977044,160194501,90485263,137144371,189661080,10188750,17911882,366152721,208066253,404521915,1735676"
"28",255744604,856264301,18,"77509460,141856532,2726240,13328261,138079681,32112253,191778335,873391,25311298,36837335,6162915,170995467,78678958,252904311,275968691,111243415,1262060,648809"
"29",255744604,856264302,2,"125633570,97026673"
"30",255744604,856264303,187,"72178774,180265377,5077938,1811814,267569457,218813244,349366091,4884003,119445881,17002524,18481483,1913137,204301883,14154684,294524737,34274625,362841,18693424,379731166,306040116,167330723,375148796,1892831,53895737,15361142,221810605,95791490,18121188,83116050,46102948,273743557,74631260,243964652,38500851,259792772,35805936,16892301,8298402,330001454,99474216,32220795,91696775,214389939,78797011,211601761,298920764,394165332,122111153,93530797,101952511,142084532,3925150,17250409,303747564,251392342,45370146,135367923,58387340,97357829,70537551,114690109,279257433,12041377,138136274,262289113,1289222,80783030,7882246,61262520,235318152,86986932,226661316,162430795,217604776,13962517,225549603,97527319,48092610,263476054,296267139,139842468,8153470,211176742,220075694,150793269,75198969,1815966,238803846,13484002,39820186,136242706,285540296,44134311,28974242,161944220,345811264,829692,238125961,398019,172071947,5582596,120840002,6216849,42307054,2334138,14960532,379705,173489461,239519509,45545639,196835387,56289328,175918358,73574,1257389,40249579,33189045,60830343,76638820,17700275,8705551,182481226,173385256,6211825,39864886,65284137,56516836,156679354,86328734,152413617,13272,218552203,1052029,444299,145376788,121562217,272154613,176193087,38159369,3141170,231446329,244010028,153059,38305493,17893919,4710456,199632147,1209730,100887528,4521365,19074444,39322,69239956,187567952,15956436,396198598,48059,203456258,197009609,58044613,93933599,212536697,2138758,516040,142991,29197745,49500732,28748954,30490594,7614779,33763965,372245914,168873640,292411079,172222242,16923707,12516554,368918401,144603886,3012248,3321293,413404314,3093175,99133375,78327100,260081989,196141213"
"31",256576744,859150538,20,"50949855,14154684,328650744,228783991,200326262,235318152,23846380,3894406,206849103,95313487,348181077,234775609,1299524,27831635,203307037,168335898,1403942,26333360,307378561,43595210"
"32",256576744,859150539,7,"305850627,181536019,155209117,30144641,246115744,97527319,71017194"
"33",256576744,859150540,16,"7428080,25795118,367580453,184696928,30077592,224051,262943964,105931279,189661080,46493107,185671,6581164,6049143,170995467,404521915,372356816"
"34",256576744,859150541,2,"7667379,95418776"
"35",256576744,859150542,174,"180265377,141977657,1811814,242888187,104292715,4284368,349366091,4884003,119445881,33029473,250579927,230703790,3231680,34274625,21174665,3327488,167858036,18693424,274426,90251077,53895737,10587463,46102948,273743557,62772407,491575,113214279,16892301,91001784,330001454,230662141,91696775,78797011,211601761,6722583,122111153,17250409,56516836,135367923,97357829,70537551,114690109,279257433,138136274,50069722,5242543,7882246,61262520,15495680,217604776,80612622,49843,87847706,139842468,209003045,125633570,402002240,212091,150793269,13484002,39820186,120840002,6216849,45545639,175918358,22495348,272154613,17700275,252904311,39864886,160194501,113315887,32220795,26745777,1757203,362305252,80709196,8705551,829692,8416027,262289113,1755305,26587,68768094,1913137,125441940,3506187,322962,5587013,239867727,8689842,34420264,4094843,251392342,48092610,249861847,80402,2638190,196188095,86986932,142676929,146444210,323436,12950131,139096986,62971652,45370146,8153470,788126,24761922,59630297,142991,90513012,196835387,215233222,1482202,60830343,156974703,3321293,181413544,238803846,107260942,413404314,65284137,182228951,466915,203644529,617036,235410607,246754928,3339124,2753827,70095871,13128722,122690798,23541593,581534,241360009,96623762,32519412,69560,26842036,238125961,444299,36484397,244010028,11497326,5168137,467514,46723843,8353758,122604928,195230454,81781101,107015120,73045431,240139142,288677585,133233955,12335701,39162229,83956790,21600527,106139815,177986254,14937002,194758158,94959630,688965,172470088,348973,137228513,31752342,5173708"
"36",255742432,856256524,22,"181536019,1532702,410662037,3894406,291097164,211277247,1592079,1751314,7193731,201088381,93619858,59063073,94603516,145513372,1091790,11633981,1403942,168420460,217604776,90485263,378751786,194758158"
"37",255742432,856256525,15,"292557068,1992063,244624304,366518107,224583948,332879892,155209117,274554137,1461520,54958006,246115744,280495648,346131537,344421045,23249648"
"38",255742432,856256526,49,"32334535,344633871,263859163,82447028,311619834,328650744,6282956,184696928,449677,232396775,2082809,10188750,2530291,160194501,189661080,149947,36328653,172122929,29755241,300817892,43737429,53057449,7151409,246170,3321293,229463724,170995467,138188837,429242,4947895,1596343,262289113,142382340,209411276,328052,181067180,199552961,87958774,85872437,18123747,348890785,362013605,136609050,862967,11609479,5327580,149221,321673642,99133375"
"39",255742432,856256527,1,"112781531"
"40",255742432,856256528,221,"362229438,268479,305850627,180265377,175720799,5077938,4156903,173916099,1335950,349366091,4884003,144913103,18481483,7750586,14154684,34274625,34699820,133201176,152562411,358823222,70701886,53895737,18121188,114829665,29667949,96225528,203007310,62772407,381286096,142991,394165332,91285537,6722583,122111153,142084532,17250409,706229,114690109,279257433,239386401,2209037,43667743,522198,13741946,161944220,39864886,257805361,19074444,113315887,32220795,11926923,358463063,1913137,142676929,8689842,251392342,99357528,153370710,10125798,28233,269627119,14937002,1811814,5912567,195230454,28507745,17700275,99474216,43886791,633137,255452,49631762,8705551,307516161,272154613,4913058,80783030,205832557,187877374,209464395,7667379,20628724,95013114,1012000,4186987,203751480,404521915,136586815,88694286,1581512,1527341,238125961,44777578,36571872,145376788,88269188,80402,200984384,40516770,139842468,224150938,39820186,8416027,238803846,3044373,193179323,277943637,287592376,236693693,109327491,57614671,873391,413404314,5384650,581534,76638820,131845006,484018,7644344,26842036,147225263,124441398,46102948,2963167,8153470,45370146,48092610,239519509,16193175,18693424,52292984,1775081,239185373,25410807,241243876,61558287,744363,25580256,129845844,160786597,151740514,207015402,500647,9375559,3506187,124941235,36031102,57906323,165693337,65284137,50864608,60830343,45545639,196835387,244010028,5352978,2093243,25939153,400957895,41757178,135367923,270981,1467052,56896092,101095972,1210128,70231340,781152,38027319,68416872,1898483,471934,2114356,6024204,134777697,8547289,75740654,9479115,201693461,2501891,39037386,246754928,259096935,4938943,19284708,329605,38229877,73882902,829692,1090873,26122005,185317552,3382616,72798571,133260078,36484397,38575855,251583,330061482,3963670,148409209,136973836,1052029,28775872,102131053,2423284,899504,29560109,74470090,138780530,3387115,166822745,68489457,369064445,258181184,4004186,172158253,58044613,13043158,26441847,147524805"
"41",256075396,857404162,44,"249487839,9403587,289384974,2748945,211601761,252399,122111153,101952511,186513,142084532,285487970,120526391,386981362,29755241,138325886,266025402,136325901,351940420,197662374,80036239,50386838,335234393,1299524,292411079,119565008,83317527,5360064,235101275,15884153,1028680,2486206,360779401,42651611,219964321,225022974,290909,8353758,1031613,150438827,238181538,244457566,31885991,3806598,99133375"
"42",256075396,857404163,23,"253047019,5044016,457863,2154481,246115744,248448713,452734,12837445,53056471,525705,35903137,217604776,41335543,45370146,164445764,7997055,590070,18336725,241227615,147299104,192148097,91632992,153519626"
"43",256075396,857404164,35,"82099966,155673651,14154684,164882337,211277247,165771472,174023178,184696928,1532702,110889929,10188750,189661080,360638259,172122929,346131537,393969567,169500410,198940356,186601037,451142,322577,262289113,424946,1830704,321673642,90485263,7837307,12105815,55861761,155287119,36233143,224171880,1829892,249656116,216761075"
"44",256075396,857404165,3,"18182811,269627119,200326262"
"45",256075396,857404166,195,"70409933,25656566,156798180,818573,173916099,349366091,297141133,85776041,144913103,57078249,14309052,44394293,197898321,33119272,70701886,41267866,318470663,330001454,91696775,181536019,971138,225549603,119755351,239386401,161944220,39864886,366518107,54098964,64563345,1913137,25390682,7160686,1811814,95791490,49631762,30112423,307516161,205832557,187877374,395555104,36571872,16359907,40516770,39757940,241243876,133260078,281061321,157325219,32220795,661237,129402964,412137113,336171498,119445881,70537551,95053892,131928498,5288858,209537,139842468,162155053,230010593,80612622,132417889,197696009,80783030,21616801,3282389,1581512,61779539,8705551,58044613,266032314,397605292,85337545,32503156,168873640,97527319,114690109,15956436,99474216,3506187,14244168,14937002,20072011,16912442,39820186,300817892,26571593,381630588,9158231,18693424,186381750,500647,137830889,60830343,8234654,45545639,314631018,146067222,4913058,251392342,327729,57039001,3499318,16701659,833701,12793235,399288322,223969607,307186266,336137862,142991,182297896,3321293,181413544,413404314,829692,145376788,519054,7727362,385032391,1210128,12915831,2624809,46723843,2313826,4527520,266406153,248806879,89074271,45052037,311013459,296267139,33940060,127749318,291805183,135553383,10529111,177321923,4271525,264097043,17700275,443531,31361085,84647024,146585333,245869430,42257,113759800,33189045,1344780,2361587,238803846,245321697,71238,24761922,15030037,17893919,329605,386711346,13703171,39087883,86328734,201693461,188355096,4423941,367516843,69292298,55463256,113847,41757178,34155341,115457659,229456214,2501891,90600534,7667379,11497326,8491337,2811253,726,152225931,303304183,293734239,5310684,358682471,300360342,65729176,11506383,220299110,4004186,126824125,193987,12319191"
"46",255698138,856100011,60,"1695447,2134077,14498212,141977657,349366091,16685434,31987994,250219206,244624304,34378809,60760558,181536019,211601761,3116753,1532702,29755241,124270986,21053459,412137113,97136,149947,25027694,97093075,238181538,255773432,84875348,168873640,12626669,76790844,18481483,3220679,32150949,19164676,292411079,5097240,321939777,324539673,210056261,5385504,30082209,204872473,29368657,209464395,32862567,49901750,3644777,5441723,4325112,7193731,291328740,260749441,194758158,173241378,90485263,161656219,833382,19900,396825,1403942,129845844"
"47",255698138,856100012,16,"4551,257667619,246115744,39820186,110604182,11503653,22700805,220514675,2880090,25365729,18560265,144807801,4566200,3282389,320415698,32717496"
"48",255698138,856100013,30,"68382883,203391407,38944546,184696928,189661080,199632147,404521915,224531721,273743557,19867275,2880255,51178161,41335543,36627203,321664070,1948335,5022124,325636478,32334535,412904887,5917722,1811814,873391,138511043,599806,23807055,1853350,277367567,1293864,4527455"
"49",255698138,856100014,4,"14024139,12737,348031579,4548252"
"50",255698138,856100015,303,"11599618,10960615,45301960,3855252,173916099,25390682,1170130,30560176,7906995,144618376,406128041,8911614,5059104,144913103,57078249,45458441,164882337,133201176,70701886,25266421,306040116,167330723,29594807,347912211,92646440,330001454,146065531,266768167,302398520,101952511,285487970,5242543,7882246,85672312,133333198,4038934,171309837,15686598,161944220,189282073,39864886,49633,272154613,165084983,260952262,358463063,9739337,244076859,322962,203751480,384423775,282738881,95791490,49631762,3141170,368694746,187877374,36571872,171536124,152646060,40516770,236693693,93366040,131845006,124441398,133260078,281061321,358173181,144094192,2313826,277943637,280147553,119445881,5288858,131928498,139842468,1640242,276891568,84476354,230010593,132417889,80783030,192981650,2194,61779539,8705551,254587,60785580,78061811,97527319,38094296,5397724,335234393,140887637,2108380,18693424,644225,119565008,8234654,6581164,251392342,30155705,385032391,266406153,17700275,3160485,32220795,28233,3211863,144030,238367823,155407424,33763965,70873937,7667379,65499,99474216,112821161,17653106,9405102,17250409,84506209,104320724,16193175,64891,258514380,70322644,12013425,217690404,177667840,55356035,389770186,299060141,89673499,231024580,264883343,3321293,51314558,83317527,5310684,4786462,55533376,9271007,817083,1642991,20290538,26473080,47256311,298625614,1334024,26418726,196835387,200984384,246754928,60830343,3638307,262289113,86986932,1197343,1951879,2694,238803846,45370146,519508,145461310,305850627,134319823,184109628,1299489,95053892,1377113,65284137,644937,326442,4157504,43012034,322577,73606,137407893,45545639,87324791,44777578,666724,12793235,1898483,74080796,328052,142991,58269386,43220822,238483687,3965644,19195378,100588380,21604597,410520,20072011,306411756,270432221,266765341,29046511,33335600,70537551,33189045,12240607,500647,30228,11497326,4521365,1026675,6813665,12240359,80130317,413404314,459673,2501891,26322863,71860577,488759,3506187,1927806,6331154,13703482,22895978,142012026,167161379,19761427,351940420,192988399,39322,329605,217604776,6165467,238125961,829692,3943760,21600527,139865303,223848171,386711346,17773409,58044613,133233955,1700234,31417718,726,98452688,30691465,10913175,244010028,521458,2431312,220299110,38956647,3371912,824306,12902068,1625206,48092610,25528233,141980762,266528624,18758949,16923707,9375559,171649654,38027319,145376788,413947010,258684601,168673555,3687105,180581548,3801491,36484397,307827372,147853134,32980208,41757178,14380016,3071130,90156746,7468680,1137572,102832239,113315887,192391566,19148287,73968045,29197745,203644529,148693,134777697,1210128,1090873,156882668,1118116,194511191,256170,72790760,132684488,38002738,169837308"
"51",255840559,856595337,15,"152344628,14154684,353964628,5441723,168296739,15167289,137308543,1052029,1028680,1421627,33261105,1403942,13259927,11916603,20382282"
"52",255840559,856595338,24,"290288085,100504969,14845743,102343230,58500729,27216066,244669875,154294,9057399,987717,196297904,31068731,412904887,159967450,142012026,403082243,253878398,246115744,224419330,23097240,2154481,45569,413947010,18454885"
"53",255840559,856595339,21,"1781178,258531393,328650744,302398520,184696928,706229,404521915,124270986,147275784,266406153,20159396,73544434,191778335,7149000,315834716,303740746,9889729,16438132,118924972,307317627,6191044"
"54",255840559,856595340,1,"97527319"
